step,elapsed_seconds,elapsed_hours,ambient_temp_c
756,226800,63.0,34.28
757,227100,63.08333333333333,34.124
758,227400,63.166666666666664,33.968
759,227700,63.25,33.812
760,228000,63.33333333333333,33.657
761,228300,63.416666666666664,33.501
762,228600,63.5,33.345
763,228900,63.58333333333333,33.189
764,229200,63.666666666666664,33.033
765,229500,63.75,32.878
766,229800,63.83333333333333,32.722
767,230100,63.916666666666664,32.566
768,230400,64.0,32.41
769,230700,64.08333333333333,32.209
770,231000,64.16666666666666,32.008
771,231300,64.25,31.807
772,231600,64.33333333333333,31.607
773,231900,64.41666666666666,31.406
774,232200,64.5,31.205
775,232500,64.58333333333333,31.004
776,232800,64.66666666666666,30.803
777,233100,64.75,30.602
778,233400,64.83333333333333,30.402
779,233700,64.91666666666666,30.201
780,234000,65.0,30.0
781,234300,65.08333333333333,29.844
782,234600,65.16666666666666,29.688
783,234900,65.25,29.532
784,235200,65.33333333333333,29.377
785,235500,65.41666666666666,29.221
786,235800,65.5,29.065
787,236100,65.58333333333333,28.909
788,236400,65.66666666666666,28.753
789,236700,65.75,28.598
790,237000,65.83333333333333,28.442
791,237300,65.91666666666666,28.286
792,237600,66.0,28.13
793,237900,66.08333333333333,28.038
794,238200,66.16666666666666,27.945
795,238500,66.25,27.852
796,238800,66.33333333333333,27.76
797,239100,66.41666666666666,27.668
798,239400,66.5,27.575
799,239700,66.58333333333333,27.483
800,240000,66.66666666666666,27.39
801,240300,66.75,27.298
802,240600,66.83333333333333,27.205
803,240900,66.91666666666666,27.113
804,241200,67.0,27.02
805,241500,67.08333333333333,26.947
806,241800,67.16666666666666,26.873
807,242100,67.25,26.8
808,242400,67.33333333333333,26.727
809,242700,67.41666666666666,26.653
810,243000,67.5,26.58
811,243300,67.58333333333333,26.507
812,243600,67.66666666666666,26.433
813,243900,67.75,26.36
814,244200,67.83333333333333,26.287
815,244500,67.91666666666666,26.213
816,244800,68.0,26.14
817,245100,68.08333333333333,26.071
818,245400,68.16666666666666,26.002
819,245700,68.25,25.932
820,246000,68.33333333333333,25.863
821,246300,68.41666666666666,25.794
822,246600,68.5,25.725
823,246900,68.58333333333333,25.656
824,247200,68.66666666666666,25.587
825,247500,68.75,25.518
826,247800,68.83333333333333,25.448
827,248100,68.91666666666666,25.379
828,248400,69.0,25.31
829,248700,69.08333333333333,25.249
830,249000,69.16666666666666,25.188
831,249300,69.25,25.127
832,249600,69.33333333333333,25.067
833,249900,69.41666666666666,25.006
834,250200,69.5,24.945
835,250500,69.58333333333333,24.884
836,250800,69.66666666666666,24.823
837,251100,69.75,24.762
838,251400,69.83333333333333,24.702
839,251700,69.91666666666666,24.641
840,252000,70.0,24.58
841,252300,70.08333333333333,24.517
842,252600,70.16666666666666,24.453
843,252900,70.25,24.39
844,253200,70.33333333333333,24.327
845,253500,70.41666666666666,24.263
846,253800,70.5,24.2
847,254100,70.58333333333333,24.137
848,254400,70.66666666666666,24.073
849,254700,70.75,24.01
